Invoice Date,Customer Code,Material Code,Total
4/30/2016,100922,143115,3
4/30/2016,100922,143116,2
4/30/2016,100922,143126,5
4/30/2016,100922,143127,5
4/30/2016,100922,143130,16
4/30/2016,100922,143132,2
4/30/2016,100922,143133,18
4/30/2016,100922,143147,8
4/30/2016,100922,143150,15
4/30/2016,100922,143168,10
4/30/2016,100922,143169,9
4/30/2016,100922,143170,11
4/30/2016,100922,143176,5
4/30/2016,100922,143214,6
4/30/2016,100922,143215,6
4/30/2016,100922,143218,2
4/30/2016,100922,143306,6
4/30/2016,100922,143307,27
4/30/2016,100922,143322,15
4/30/2016,100922,180187,9
4/30/2016,100922,187545,27
4/30/2016,100922,187547,4
4/30/2016,100922,192797,9
4/30/2016,100922,196859,21
4/30/2016,100922,197270,3
4/30/2016,100922,220719,18
4/30/2016,100922,220720,11
4/30/2016,100922,231213,16
4/30/2016,100922,242413,9
4/30/2016,100922,256326,13
4/30/2016,100922,261015,2
4/30/2016,100922,436109,4
4/30/2016,100922,442562,9
4/30/2016,102084,143143,9
4/30/2016,102084,143198,12
4/30/2016,102084,143224,6
4/30/2016,102084,143230,6
4/30/2016,102084,143307,21
4/30/2016,102084,143308,16
4/30/2016,102084,143323,11
4/30/2016,102084,180199,27
4/30/2016,102084,187549,169
4/30/2016,102084,187550,40
4/30/2016,102084,220706,3
4/30/2016,102084,220707,6
4/30/2016,102084,220708,3
4/30/2016,102084,436262,15
4/30/2016,103227,143219,37
4/30/2016,103227,143229,9
4/30/2016,103227,143230,23
4/30/2016,103227,143270,37
4/30/2016,103227,180199,40
4/30/2016,103227,186547,31
4/30/2016,103227,187546,6
4/30/2016,103227,187548,77
4/30/2016,103227,187549,242
4/30/2016,103227,187550,100
4/30/2016,103227,195051,68
4/30/2016,103227,207420,2
4/30/2016,103227,207423,3
4/30/2016,103227,220708,47
4/30/2016,103227,436262,6
4/30/2016,103227,442562,10
4/30/2016,103374,180187,77
4/30/2016,103374,180189,24
4/30/2016,103374,180199,78
4/30/2016,103374,182187,24
4/30/2016,103374,186547,33
4/30/2016,103374,187546,12
4/30/2016,103374,187548,49
4/30/2016,103374,187549,92
4/30/2016,103374,195051,19
4/30/2016,103671,143127,9
4/30/2016,103671,143143,17
4/30/2016,103671,143168,9
4/30/2016,103671,143169,61
4/30/2016,103671,143170,12
4/30/2016,103671,143195,30
4/30/2016,103671,143196,29
4/30/2016,103671,143213,6
4/30/2016,103671,143214,16
4/30/2016,103671,143215,6
4/30/2016,103671,143228,15
4/30/2016,103671,143229,44
4/30/2016,103671,143231,15
4/30/2016,103671,158107,3
4/30/2016,103671,186547,6
4/30/2016,103671,186548,12
4/30/2016,103671,187545,7
4/30/2016,103671,187546,11
4/30/2016,103671,187547,3
4/30/2016,103671,187548,3
4/30/2016,103671,187549,9
4/30/2016,103671,187550,3
4/30/2016,103671,220721,6
4/30/2016,103671,228913,15
4/30/2016,103671,436111,14
4/30/2016,103671,462863,6
4/30/2016,103671,470246,3
4/30/2016,114602,143215,14
4/30/2016,114602,143218,12
4/30/2016,114602,143226,11
4/30/2016,114602,143270,62
