Invoice Date,Customer Code,Material Code,Actual Volume,Customer Name,Material Description,Total
4/30/2016,100922,143115,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X840X1830,3
4/30/2016,100922,143116,2,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X1830,2
4/30/2016,100922,143126,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01030X800X2135,5
4/30/2016,100922,143127,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01035X800X2135,5
4/30/2016,100922,143130,5,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X2135,16
4/30/2016,100922,143132,2,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01060X840X2135,2
4/30/2016,100922,143133,18,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X840X2135,18
4/30/2016,100922,143147,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X2440,8
4/30/2016,100922,143150,13,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X840X2440,15
4/30/2016,100922,143168,8,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01020X800X2740,10
4/30/2016,100922,143169,9,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01020X800X3050,9
4/30/2016,100922,143170,11,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01020X800X3660,11
4/30/2016,100922,143176,5,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01025X800X3050,5
4/30/2016,100922,143214,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X840X3050,6
4/30/2016,100922,143215,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X840X3660,6
4/30/2016,100922,143218,2,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X2740,2
4/30/2016,100922,143306,6,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01060X840X2740,6
4/30/2016,100922,143307,15,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01060X840X3050,27
4/30/2016,100922,143322,15,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X840X2740,15
4/30/2016,100922,180187,9,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X1220X3050,9
4/30/2016,100922,187545,24,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X1220X2135,27
4/30/2016,100922,187547,4,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X1220X2740,4
4/30/2016,100922,192797,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X1220X2740,9
4/30/2016,100922,196859,21,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC0105X1220X2135,21
4/30/2016,100922,197270,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X1220X2135,3
4/30/2016,100922,220719,12,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC0104X910X3050,18
4/30/2016,100922,220720,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC0104X910X3660,11
4/30/2016,100922,231213,3,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X910X2440,16
4/30/2016,100922,242413,9,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X910X1830,9
4/30/2016,100922,256326,13,BUBNA COMMERCIAL COMPANY,GCSHEETTATGCSGCS1045X910X3050SEC,13
4/30/2016,100922,261015,2,BUBNA COMMERCIAL COMPANY,GCSHEETTATGCSGCS1030X910X4270SEC,2
4/30/2016,100922,436109,4,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC014X1220X2740,4
4/30/2016,100922,442562,9,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC013X1220X3660,9
4/30/2016,102084,143143,6,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01030X800X2440,9
4/30/2016,102084,143198,6,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01030X800X4270,12
4/30/2016,102084,143224,6,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01035X800X4270,6
4/30/2016,102084,143230,6,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01040X800X4270,6
4/30/2016,102084,143307,15,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01060X840X3050,21
4/30/2016,102084,143308,6,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01060X840X3660,16
4/30/2016,102084,143323,11,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01063X840X3050,11
4/30/2016,102084,180199,11,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01050X1220X3660,27
4/30/2016,102084,187549,74,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01045X1220X3660,169
4/30/2016,102084,187550,3,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01045X1220X4270,40
4/30/2016,102084,220706,3,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01030X910X2440,3
4/30/2016,102084,220707,6,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01030X910X3050,6
4/30/2016,102084,220708,3,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC01030X910X3660,3
4/30/2016,102084,436262,9,DEVI DAYAL HARI KISHAN,GCSHEETTATXGCGC0135X1220X3660,15
4/30/2016,103227,143219,4,BMW VENTURES LIMITED,GCSHEETTATXGCGC01050X840X3050,37
4/30/2016,103227,143229,9,BMW VENTURES LIMITED,GCSHEETTATXGCGC01040X800X3660,9
4/30/2016,103227,143230,20,BMW VENTURES LIMITED,GCSHEETTATXGCGC01040X800X4270,23
4/30/2016,103227,143270,3,BMW VENTURES LIMITED,GCSHEETTATXGCGC01050X840X3660,37
4/30/2016,103227,180199,33,BMW VENTURES LIMITED,GCSHEETTATXGCGC01050X1220X3660,40
4/30/2016,103227,186547,15,BMW VENTURES LIMITED,GCSHEETTATXGCGC01050X1220X4270,31
4/30/2016,103227,187546,6,BMW VENTURES LIMITED,GCSHEETTATXGCGC01045X1220X2440,6
4/30/2016,103227,187548,17,BMW VENTURES LIMITED,GCSHEETTATXGCGC01045X1220X3050,77
4/30/2016,103227,187549,12,BMW VENTURES LIMITED,GCSHEETTATXGCGC01045X1220X3660,242
4/30/2016,103227,187550,9,BMW VENTURES LIMITED,GCSHEETTATXGCGC01045X1220X4270,100
4/30/2016,103227,195051,3,BMW VENTURES LIMITED,GCSHEETTATXGCGC01040X1220x3660,68
4/30/2016,103227,207420,2,BMW VENTURES LIMITED,GCSHEETTATGCSGCS1045X840X3050SEC,2
4/30/2016,103227,207423,3,BMW VENTURES LIMITED,GCSHEETTATGCSGCS1050X840X2440SEC,3
4/30/2016,103227,220708,9,BMW VENTURES LIMITED,GCSHEETTATXGCGC01030X910X3660,47
4/30/2016,103227,436262,3,BMW VENTURES LIMITED,GCSHEETTATXGCGC0135X1220X3660,6
4/30/2016,103227,442562,10,BMW VENTURES LIMITED,GCSHEETTATXGCGC013X1220X3660,10
4/30/2016,103374,180187,3,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X3050,77
4/30/2016,103374,180189,7,KAUSALYA AGENCIES,GCSHEETTATXGCGC01060X1220X3050,24
4/30/2016,103374,180199,6,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X3660,78
4/30/2016,103374,182187,6,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X2440,24
4/30/2016,103374,186547,15,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X4270,33
4/30/2016,103374,187546,6,KAUSALYA AGENCIES,GCSHEETTATXGCGC01045X1220X2440,12
4/30/2016,103374,187548,9,KAUSALYA AGENCIES,GCSHEETTATXGCGC01045X1220X3050,49
4/30/2016,103374,187549,12,KAUSALYA AGENCIES,GCSHEETTATXGCGC01045X1220X3660,92
4/30/2016,103374,195051,4,KAUSALYA AGENCIES,GCSHEETTATXGCGC01040X1220x3660,19
4/30/2016,103671,143127,9,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01035X800X2135,9
4/30/2016,103671,143143,7,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01030X800X2440,17
4/30/2016,103671,143168,6,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01020X800X2740,9
4/30/2016,103671,143169,16,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01020X800X3050,61
4/30/2016,103671,143170,9,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01020X800X3660,12
4/30/2016,103671,143195,9,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01030X800X2740,30
4/30/2016,103671,143196,7,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01030X800X3050,29
4/30/2016,103671,143213,6,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01045X840X2740,6
4/30/2016,103671,143214,10,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01045X840X3050,16
4/30/2016,103671,143215,3,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01045X840X3660,6
4/30/2016,103671,143228,9,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01040X800X3050,15
4/30/2016,103671,143229,9,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01040X800X3660,44
4/30/2016,103671,143231,15,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01040X800X4880,15
4/30/2016,103671,158107,3,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01050X800X3050,3
4/30/2016,103671,186547,6,BAJRANG STEEL (SALES) CORPORATION,GCSHEETTATXGCGC01050X1220X4270,6
