Invoice Date,Customer Code,Material Code,Total
4/30/2016,100922,143115,3
4/30/2016,100922,143116,2
4/30/2016,100922,143126,5
4/30/2016,100922,143127,5
4/30/2016,100922,143130,16
4/30/2016,100922,143132,2
4/30/2016,100922,143133,18
4/30/2016,100922,143147,8
4/30/2016,100922,143150,15
4/30/2016,100922,143168,10
4/30/2016,100922,143169,9
4/30/2016,100922,143170,11
4/30/2016,100922,143176,5
4/30/2016,100922,143214,6
4/30/2016,100922,143215,6
4/30/2016,100922,143218,2
4/30/2016,100922,143306,6
4/30/2016,100922,143307,27
4/30/2016,100922,143322,15
4/30/2016,100922,180187,9
4/30/2016,100922,187545,27
4/30/2016,100922,187547,4
4/30/2016,100922,192797,9
4/30/2016,100922,196859,21
4/30/2016,100922,197270,3
4/30/2016,100922,220719,18
4/30/2016,100922,220720,11
4/30/2016,100922,231213,16
4/30/2016,100922,242413,9
4/30/2016,100922,256326,13
4/30/2016,100922,261015,2
4/30/2016,100922,436109,4
4/30/2016,100922,442562,9
4/30/2016,103374,180187,77
4/30/2016,103374,180189,24
4/30/2016,103374,180199,78
4/30/2016,103374,182187,24
4/30/2016,103374,186547,33
4/30/2016,103374,187546,12
4/30/2016,103374,187548,49
4/30/2016,103374,187549,92
4/30/2016,103374,195051,19
4/30/2016,114602,143215,14
4/30/2016,114602,143218,12
4/30/2016,114602,143226,11
4/30/2016,114602,143270,62
4/30/2016,115048,143197,7
4/30/2016,115048,220708,12
4/30/2016,115048,220725,5
4/30/2016,115048,220729,12
4/30/2016,117061,180187,29
4/30/2016,117061,180199,29
4/30/2016,117061,187548,37
4/30/2016,117061,187549,71
4/30/2016,117061,187550,34
4/30/2016,117061,306693,8
4/30/2016,117061,306694,9
4/30/2016,122331,180199,26
4/30/2016,122331,187548,17
4/30/2016,122331,187550,36
4/30/2016,122331,220721,6
4/30/2016,122331,220722,6
4/30/2016,122331,220726,9
4/30/2016,122331,221069,30
4/30/2016,122331,222758,13
4/30/2016,122331,228913,11
4/30/2016,128543,143197,6
4/30/2016,128543,143223,6
4/30/2016,128543,143228,6
4/30/2016,128543,143229,6
4/30/2016,128543,143230,6
4/30/2016,128543,231276,3
4/30/2016,150962,143143,3
4/30/2016,150962,143177,3
4/30/2016,150962,143197,6
4/30/2016,150962,143222,6
4/30/2016,150962,143223,3
4/30/2016,150962,143228,13
4/30/2016,150962,180187,9
4/30/2016,150962,186547,6
4/30/2016,150962,187548,3
4/30/2016,150962,192794,3
4/30/2016,150962,195051,5
4/30/2016,150962,228913,3
4/30/2016,150962,231275,12
4/30/2016,150962,436262,3
4/30/2016,162906,220720,15
4/30/2016,162906,221068,40
4/30/2016,162906,231213,27
4/30/2016,162906,231231,33
4/30/2016,162906,231275,24
4/30/2016,165873,143143,3
4/30/2016,165873,143176,3
4/30/2016,165873,143198,8
4/30/2016,165873,143223,9
4/30/2016,165873,143228,6
4/30/2016,165873,143229,9
4/30/2016,165873,143230,9
4/30/2016,165873,143231,23
4/30/2016,165873,186547,3
4/30/2016,165873,187549,6
4/30/2016,165873,195051,9
4/30/2016,165873,222756,5
